TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_*****                           0.860778,TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_*****,0.860778
TARGOWISKA.Targowiska_sezonowe                                                      0.839411,TARGOWISKA.Targowiska_sezonowe,0.839411
TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_***                             0.831456,TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_***,0.831456
MUZEA.Muzea_w_gestii_samorzadu_muzea_lacznie_z_oddzialami                           0.798024,MUZEA.Muzea_w_gestii_samorzadu_muzea_lacznie_z_oddzialami,0.798024
Domy_i_osrodki_kultury.ogolem                                                       0.784346,Domy_i_osrodki_kultury.ogolem,0.784346
wikipedia_area                                                                      0.734544,wikipedia_area,0.734544
wikipedia_nr_of_people                                                              0.731090,wikipedia_nr_of_people,0.731090
SCIEZKI_ROWEROWE.sciezki_rowerowe_(drogi_dla_rowerow)_ogolem                        0.716637,SCIEZKI_ROWEROWE.sciezki_rowerowe_(drogi_dla_rowerow)_ogolem,0.716637
DOCHODY_BUDZETOW_MIAST.Dochody_ogolem                                               0.703397,DOCHODY_BUDZETOW_MIAST.Dochody_ogolem,0.703397
KOMUNIKACJA_MIEJSKA.dlugosc_bus_pasow                                               0.696309,KOMUNIKACJA_MIEJSKA.dlugosc_bus_pasow,0.696309
DOCHODY_BUDZETOW_MIAST.Dotacje_ogolem                                               0.678352,DOCHODY_BUDZETOW_MIAST.Dotacje_ogolem,0.678352
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_600_Transport_i_lacznosc        0.642684,DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_600_Transport_i_lacznosc,0.642684
DOCHODY_BUDZETOW_MIAST.Dochody_majatkowe_ogolem                                     0.620094,DOCHODY_BUDZETOW_MIAST.Dochody_majatkowe_ogolem,0.620094
Imprezy_masowe.liczba_imprez_ogolem                                                 0.611135,Imprezy_masowe.liczba_imprez_ogolem,0.611135
accommodations_per1k_given                                                          0.547178,accommodations_per1k_given,0.547178
DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_ogolem                                 0.523333,DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_ogolem,0.523333
TARGOWISKA.Targowiska_stale                                                         0.517788,TARGOWISKA.Targowiska_stale,0.517788