TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_*****                           0.860778,Korelacja z popularnością turystyczną,Zmienne
TARGOWISKA.Targowiska_sezonowe                                                      0.839411,0.860778,hotele_kategorii_*****
TURYSTYCZNE_OBIEKTY.obiekty_ogolem_hotele_kategorii_***                             0.831456,0.839411,Targowiska_sezonowe
MUZEA.Muzea_w_gestii_samorzadu_muzea_lacznie_z_oddzialami                           0.798024,0.831456,hotele_kategorii_***
Domy_i_osrodki_kultury.ogolem                                                       0.784346,0.798024,Muzea
wikipedia_area                                                                      0.734544,0.784346,Domy i osrodki
wikipedia_nr_of_people                                                              0.731090,0.734544,Powierzchnia
SCIEZKI_ROWEROWE.sciezki_rowerowe_(drogi_dla_rowerow)_ogolem                        0.716637,0.731090,Liczba ludności
DOCHODY_BUDZETOW_MIAST.Dochody_ogolem                                               0.703397,0.716637,ścieżki rowerowe
KOMUNIKACJA_MIEJSKA.dlugosc_bus_pasow                                               0.696309,0.703397,Dochody_ogolem
DOCHODY_BUDZETOW_MIAST.Dotacje_ogolem                                               0.678352,0.696309,dlugosc_bus_pasow
DOCHODY_BUDZETOW_MIAST.Dochody_wg_kat_budzetu_Dzial_600_Transport_i_lacznosc        0.642684,0.678352,Dotacje_ogolem
DOCHODY_BUDZETOW_MIAST.Dochody_majatkowe_ogolem                                     0.620094,0.642684,Dochody_wg_kat_budzetu_Transport_i_lacznosc
Imprezy_masowe.liczba_imprez_ogolem                                                 0.611135,0.620094,Dochody_majatkowe_ogolem
accommodations_per1k_given                                                          0.547178,0.611135,liczba_imprez_ogolem
DOCHODY_BUDZETOW_MIAST.Dochody_na_mieszkanca_ogolem                                 0.523333,0.547178,Accommodations per 1k
TARGOWISKA.Targowiska_stale                                                         0.517788,0.523333,Dochody na mieszkańca
,0.517788,Targowiska_stale